definition,answer,occurrences,example_clue,approve
blooms,EDELWEISS,1,Blooms from seed Lewis scattered,
bloopers,CORRIGENDA,1,A recording involved bloopers,
blossom,SNOWDROP,1,Cultivated pond with rows of blossom,
blow,WINDSTORM,1,Mind worst affected by terrible blow,
blown up,PNEUMATIC,1,Man injured in cup-tie riot could be blown up,
blow-out,EXHALES,1,Axle he's broken makes a blow-out?,
blows,HAYMAKERS,1,My! A Shaker swinging wild blows!,
blubber once when,TRAINOIL,1,Blubber once when affected in Rialto,
blue,OARSMAN,1,"On Mars, a peculiar blue?",
blue pencil,CENSORSHIP,1,Pinch roses out with blue pencil?,
bluestocking,SCHOLASTIC,1,Chic lost as turning to bluestocking?,
bluish coating,VERDIGRIS,1,Diver's rig treated with bluish coating,
blushing,RUBESCENT,1,Teen curbs awkward blushing,
board,DISAPPEAR,1,Amend paper said to go by the board,
boat,GONDOLIER,1,Rudely ignore old person on a boat,
bodies,GRAVEYARD,1,Drag a very dilapidated area for bodies,
bold,OBTRUSIVE,1,"Twist or bust, I've to be bold",
bold,UNAFRAID,1,Find aura unusually bold,
bombardment,BROADSIDE,1,Bombardment damaged sideboard,
bond,EMANCIPATIONIST,1,Antipasto (mince - I made it!) - not for Bond!,
bond once uniting,GEORGELAZENBY,1,Bond once uniting globe - and Zane Grey novel,
bondage,ENSLAVEMENT,1,Kinky man with ten elves in bondage,
bonding component,EPOXY RESIN,1,Is pyroxene manufactured as bonding component?,
bond's martini,UNSTIRRED,1,Break stride and run for Bond's martini?,
bondsman,ERNIE,1,Irene ruined the bondsman,
book,MOLL FLANDERS,1,Lord's men fall out in book,
book,THE DA VINCI CODE,1,Hide a convicted criminal's book,
book,THESILMARILLION,1,Book adapted for millionth serial,
book ends,APPENDICES,1,"Using pin, escaped playing book ends",
book subscription,FOOTNOTE,1,Book subscription too often renewed,
booty,THESPOILS,1,Dismantled ship and stole booty,
bordeaux,SAUTERNES,1,A nurse set out for Bordeaux,
border,RIOGRANDE,1,Gain order in order with border,
border where trees still grow,TIMBER LINE,1,"Border where trees still grow entire limb, possibly",
bore,UPSURGE,1,PE gurus could be a bore,
boring,AWL,1,Criminal law - that's boring,
boring,SOUL-DESTROYING,1,Boring oldster is young after transformation,
boring makers,AWLS,1,Boring makers of laws,
borrow more,REMORTGAGE,1,Got a merger in trouble? Borrow more,
boss,MARVELLOUS,1,Boss renegotiated overall sum,
boss may require,EDITOR,1,Redo it with revision this boss may require?,
bosses,PADRONI,1,A drop-in arranged for bosses,
bottom,ATHENIAN,1,Bottom perhaps ruined hat with inane transformation,
bottom,UNDERNEATH,1,"The nude ran, tumbling on the bottom",
bottom,SITUPON,1,Bottom or top in US assembly,
boundary,SHORELINE,1,"Relish one shot, a boundary",
boxed,UNWORN,1,Boxed and now run vigorously,
boxer,MANS BEST FRIEND,1,Boxer possibly mends tan briefs badly,
boxing day,FEASTOFSTEPHEN,1,"Staff open these, perhaps, on Boxing Day",
boyfriend,STEADY,1,"Boyfriend as replacement for Ted, say",
brace,STRINGER,1,"At sea, rig stern brace",
brainiacs,EINSTEINS,1,It's seen in drunken brainiacs,
brainy stuff,WHITEMATTER,1,Theme worked out with art and wit? Brainy stuff,
brandished,WHITECAP,1,Brandished cape with wave,
brass band,OOMPAHED,1,Unusually hope a mod played in a brass band?,
bravo,NICEWORK,1,Wine – cork removed – bravo!,
brazilians,TUPI,1,Brazilians stir it up,
bread somewhere once,GUILDER,1,"I'd gruel, bananas and bread somewhere once",
breakdown van,TOWER,1,Wrote off breakdown van?,
breaker,BUSTER,1,Breaker of wild brutes,
breakfasters need,EGGTIMER,1,Breakfasters need this to get grime removed,
breather,SPIRACLE,1,Pal cries out for a breather,
breathing apparatus,IRONLUNG,1,Complicated ruling on breathing apparatus,
breathing space,SPIRACLE,1,Breathing space required to make complex replicas,
brewer,TEAURN,1,"Brewer by nature, perhaps",
bridge,TRANSITION,1,Rations tin for building bridge,
brief,THUNDERSHOWER,1,"Brief storm down there, rush out",
brief background,LAW SCHOOL,1,Local who's about to give brief background?,
brief consultation here,GRAYSINN,1,Granny is out for brief consultation here,
brief during political campaign,WHISTLE-STOP,1,"Brief during political campaign the pits, slow unfortunately",
"brief, displaying",DIRECTIONS,1,"Brief, displaying discretion",
briefing papers,NEWS CONFERENCE,1,"Spreading concern, few seen gathering briefing papers",
briefs,REMITS,1,Mister Wrong's briefs,
brier,EGLANTINE,1,Horribly inelegant brier,
bright,UNUSED,1,Bright sun due to revolve,
bright colour,ANNATTO,1,"Bright colour, not a tan for a change",
brighton,ENGLISH,1,Exploited shingle originally from Brighton?,
bring,REAWAKEN,1,Bring round a new rake ordered in error,
bring,SYSTEMATISE,1,Bring order to a mess (it's yet to be ordered),
bring,ENCOMPASS,1,Bring about spasm once tormented,
bring better profit,CERTAINTY,1,Revise a city rent that's bound to bring better profit,
bring these under control,TROUBLESPOTS,1,Troops bustle out to bring these under control?,
bringing,BECALMING,1,"Bringing off the boil, begin clam stews",
bringing 6,DESECRATE,1,"See red and act violently, bringing 6",
bringing back,RETRIEVAL,1,Bringing back earlier TV production,
bringing up,NURTURE,1,Bringing up to run true to form,
brings,ENACTS,1,Brings about new stance,
brings up what's been,LEVITATES,1,Brings up what's been cooked with vile taste,
briny,SEAWATER,1,A sweater specially designed for the briny,
british,BRITANNIC,1,Nitric ban adapted for the British,
british genius’s,ALANTURING,1,British genius’s drunk natural gin,
brittle,RADISH,1,"This plant is hard, brittle",
brittle foodstuff,CRISPBREAD,1,"Cooked spider crab, brittle foodstuff",
broadland village,REEDHAM,1,Broadland village made her change,
brothels,STEWS,1,Wild West's brothels,
brother may,TONSURE,1,Brother may have this nurse to fancy,
brotherhood,CONFRATERNITY,1,Factory intern organised the brotherhood,
brothers karamazov,RELATIVES,1,"Versatile novel, maybe The Brothers Karamazov",
brought up again,REFLOATED,1,"Brought up again, sort of related",
brown mineral extractable,LIMONITE,1,Brown mineral extractable from mine with toil,
browser,ANTE,1,"Neat moves, to run browser",
brutal,DOG-EAT-DOG,1,Brutal criminal got goaded,
brutal bullies,BRUISING,1,Brutal bullies in Big Sur,
brutality results,VIOLENCE,1,Once evil is let loose brutality results,
brute,DOGSOFWAR,1,"Brute force, for God, was slipping?",
bryn terfel,OPERASTAR,1,Arrest OAP dancing with Bryn Terfel?,
bud,UNOPENED,1,Turned up one end in bud,
bug expert,TECHIE,1,Bug expert breaking the ice,
bugs,IRKS,1,Bugs running risk,
bulbous growths seen,NARCISSI,1,Bulbous growths seen in blurred iris scan,
bullies,STRONGARMS,1,"Gran storms off, seeing bullies",
bungling old statesman,MELBOURNE,1,Rule on MBE for bungling old statesman,
buoyant home,NARROWBOAT,1,"Buoyant home town bar, or a shambles",
burden,TIRESOME,1,More ties can be a burden,
bureaucracy may,CENTRALISE,1,"Interlaces components, as bureaucracy may?",
burg­larious purpose,LOOT,1,Tool turned to burg­larious purpose,
burp,ERUCTATION,1,"Burp is routine act, unfortunately",
bury,EMBOWEL,1,"Bury me below, perhaps",
bus,DOUBLEDECKER,1,Bloke reduced travelling by bus,
bush,SONGWRITER,1,"Bush perhaps regrown, it's wild",
bushel,EPHA,1,Heap makes a bushel,
business,MARKET GARDENING,1,Business giant merged disastrously with Rank,
business,SHIPS CHANDLER,1,Business processing pilchards and hens,
bustles,UNCONGENIAL,1,Uncomfortable one unlacing bustles,
busybody's,NOSYPARKER,1,Busybody's spoken nastily with 'Arry,
butterflies,ORANGETIPS,1,"Butterflies, rats and pigeon in stew",
buyer finally,END-USER,1,Buyer finally ensured supply,
c 24,INSOUCIANT,1,C 24 - auctions in trouble,
cabals,COTERIES,1,Dismantled esoteric cabals,
cabling,HAWSER,1,Cabling her was awkward,
cafe,COSTA,1,A Scot renovated cafe,
calculating machine,DIGITALCOMPUTER,1,Rigid Metal Co. put out calculating machine,
calculation,ASSESSMENT,1,Calculation about men's assets?,
california,GOLDENGATE,1,Age-old gent playing game in California?,
california,SANDIEGO,1,Sea dog in trouble in California,
call,READALOUD,1,Call out revision of a dour deal,
call,PERSONTOPERSON,1,"""No port"" response could be the call",
called,ISAMBARD,1,Barmaids worked on as engineer was called,
"calling ""nuclear",LINE OF BUSINESS,1,"Calling ""nuclear"" fusion sensible",
calling up,EVOCATIVE,1,Calling up a vet with voice breaking,
calm,PHLEGMATIC,2,Disorderly place might calm,
calm,EASEFUL,1,Calm sea ruffled by spilt fuel,
calm emanating,PHLEGMATIC,1,Calm emanating from place might spread,
calming,PLACATING,1,Calming down pal acting out of order,
calms,ABATES,1,Calms down a wild beast,
calumny? snarl,DENIGRATION,1,Calumny? Snarl and ignore it,
came clean,SHOWERED,1,Came clean: he'd worse troubles,
camera,WIDEANGLELENSES,1,Camera parts we see selling and going wrong,
camera-loving,PHOTOGENIC,1,"Camera-loving, goofy pooch: get in!",
campaigners getting,POSTERBOYS,1,"Campaigners getting PR boost? Yes, with spin",
canadian symbol,MAPLELEAF,1,Feel a palm becoming a Canadian symbol,
cancel,OBLITERATE,1,Cancel change to a better oil,
cannabis,INDIANHEMP,1,Hide an MP in trouble for producing cannabis,
can't bear,HATES,1,Can't bear inordinate haste,
canterbury,ARCHIEPISCOPAL,1,Is pi chap out with oracle from Canterbury?,
cape verde's capital,ESCUDOS,1,US codes broken in Cape Verde's capital,
capital,DARWIN,1,Draw in new capital,
capital entertainer,ROYALALBERTHALL,1,"Ball, rarely loath to dance, is a capital entertainer",
capital fellows,PARISIANS,1,Capital fellows - in pairs as required,
capital growth,ANTLER,1,Learnt about capital growth,
capitalist,MUSCOVITE,1,"Revolutionary Soviet cum ""capitalist""",
capriccioso: tutti,ALTOGETHER,1,Larghetto e capriccioso: tutti?,
capsule protection,HEATSHIELD,1,Side with health arrangement for capsule protection?,
car,ROLLSROYCE,2,Close lorry wrecked car,
car,HEADLAMP,1,Held a map out in part of car,
car accessory,SUNROOF,1,Car accessory that's fixed on for us,
car showroom,DEALERSHIP,1,Heard spiel about car showroom,
carbohydrate found,POLYSACCHARIDE,1,Carbohydrate found in cold chips a year after cooking,
carbon copies,DUPLICATES,1,"Carbon copies are plastic, due to manufacture",
cards,RESHUFFLE,1,Running flush with free change of cards?,
cards,GREETINGS,1,Grieg's ten variations are on the cards,
carefree,INSOUCIANT,1,Carefree deals in auctions,
careful,WATCHYOURSTEP,1,Why courts tape abuse – be careful!,
careful procedures,SPIT AND POLISH,1,Careful procedures adapted to paint old ships at sea,
carefully,TIPTOEING,1,"I get point playing, going carefully",
carefully examined,ANALYSED,1,Carefully examined any leads broken,
carefully rounded,CAPE HORN,1,Unusual open arch that's carefully rounded,
caretakers,JANITORS,1,Caretakers join star cast,
cargoes,LADINGS,1,Snag with lid broken in cargoes,
caricatured,IMPERSONATED,1,Caricatured and nastily patronised me,
carrier,AERLINGUS,1,Granules I melted to make carrier,
carries,ENACTS,1,Carries out complicated ascent,
carroty stuff may get one,REDHAIR,1,Carroty stuff may get one harried,
carry,PRACTISE,1,Carry on and scrape it off,
carrying,OBEDIENT,1,"Carrying out orders to debit one, perhaps",
carrying more luggage,ROOFRACK,1,OK for car to be adapted — it's for carrying more luggage,
carrying more weight,HEFTIER,1,"Not right there, if carrying more weight",
carrying one,GESTATION,1,Carrying one into stage version?,
cars,TWO-SEATERS,1,"At rest, so we abandoned cars",
carve,INSCRIBE,1,"Carve, since rib can be minced",
cat,EYRA,1,It's a wild year for a cat?,
cathedral,CLOISTER,1,Scattered rice lost in part of cathedral,
cathedral official,CAPITULAR,1,"Altar cup I spilt, as cathedral official",
cathedral official's house,DEANERY,1,Year-end renovation of cathedral official's house,
catholic mission,THE ALAMO,1,Catholic mission serving a hot meal,
cat's container,LITTER TRAY,1,I try and rattle wild cat's container,
cause dissension,ESTRANGE,1,Bent gent's ear to cause dissension,
cause promoter,ADVOCATE,1,Cause promoter fuss with a VAT code,
causes annoyance,NEEDLES,1,"LED seen flickering, causes annoyance",
celebrated,BRILLIANT,1,Celebrated in bar till sozzled,
celebrated engraver,PIRANESI,1,Blasts inspire a celebrated engraver,
celebrates,MAKESANIGHTOFIT,1,"Celebrates moving on, takes him a gift",
celebration,HOUSEWARMING,1,I urge showman to organise moving celebration,
celebratory occasions,CENTENARIES,1,Dancing seen with certain celebratory occasions,
celebrity,KATEWINSLET,1,Letwin takes off as a celebrity,
celestial,SERAPH,1,Celestial turn of phrase,
cell,MEGALOBLAST,1,Global teams treated defective cell,
cell occupant,ENDOPLASM,1,Plod names unruly cell occupant,
celtic runes discovered,OGHAM,1,Celtic runes discovered in Omagh disaster,
cemetery,GODSACRE,1,Dogs race round the cemetery,
central america,COSTA RICA,1,CIA tangled with Castro in part of Central America,
central america,MIDWESTERN,1,Stemwinder repaired in Central America?,
central asia,TURKESTAN,1,Take turns travelling in part of Central Asia,
central asian region,TURKESTANI,1,"I take turns, moving from Central Asian region",
centre,SEWAGEFARM,1,"A few germs, a new treatment centre",
cereals etc,MUESLI,1,Mule is going crazy for mixture of cereals etc.,
ceremonial garb,BRIDALGOWN,1,Darling bow set off ceremonial garb,
ceremonial official showing what,SWORDBEARER,1,Ceremonial official showing what bad errors we could make,
certain amount,ENTHALPY,1,Certain amount of energy? Then play around,
certain people,DOGMATISTS,1,Certain people crash Tim's stag do,
certain people don't,DOUBT,1,Certain people don't do this but do otherwise,
certain players,BUGLERS,1,Certain players from GB cavalier with rules,
certain politicians construable,EUROSCEPTICS,1,Certain politicians construable as precious sect?,
certain spaniards,CASTILIANS,1,Its canal is rebuilt for certain Spaniards,
certainly,INSURGENT,1,Unresting revolutionary — certainly!,
champ? such couldn't,TOOTHLESS,1,She lost to possible champ? Such couldn't!,
champers,MOLARS,1,Morals corrupted by champers?,
champion,GLADIATOR,1,A dog trial produces a champion,
champion,ENDORSE,1,Champion with battered red nose,
chants relax,INTONES,1,Chants relax tension,
chap,POSTMASTER,1,Chap running stamp store,
chaperon,GUARD OF HONOUR,1,Chaperon perhaps agitated round rough oaf,
chap's blundering,ROUGHEN,1,Chap's blundering gun hero,
character,POPEYE THE SAILOR MAN,1,"Character, animated in Yalta, so mad with Oppenheimer",
character,ASTERIX,1,Staggering tax rise for comic character,
character reference,ALPHABETIC,1,"Unreliable chap, albeit with character reference",
characteristic,LIFESTYLE,1,Characteristic habits of poor Lily's feet,
charge,NEUTRINO,1,One Turin game that's free of charge,
charged,UNLADEN,1,"Led a nun astray, but not charged",
charlie's temporary refuge,SKYE,1,Lost keys for Charlie's temporary refuge,
charm,PERSUASIVENESS,1,Severus Snape is brewing charm,
charm,PRETTINESS,1,Bizarrely persistent charm,
charm,SCARAB,1,A crab's exotic charm,
charming,SMOOTHIE,1,Charming individual from Soho with time off,
charming,ENAMOURING,1,No geranium in arrangement? Charming!,
charming,TALISMANIC,1,Foreign claimant is charming?,
charming quality,TAKINGNESS,1,Asks in gent with moving and charming quality,
chat supervisor,MODERATOR,1,Chat supervisor rated room out of order,
cheaply,ECONOMICALLY,1,Cocaine and Molly distributed cheaply,
check,SELF-EXAMINATION,1,"Check laminates, fix one if broken",
check-in,BOARDING PASS,1,Ian drops bags off – this is required at check-in,
cheek,INSULT,1,Sunlit cheek?,
cheeky,GENAL,1,Cheeky angel representation,
cheerful,IN A GOOD TEMPER,1,Unusually poor gent aimed to become cheerful,
cheese counter,STILTON,1,List not used at the cheese counter,
chemical,SYNERESIS,1,Chemical separation could be produced by rinses? Yes,
chemical substance,OXYACID,1,Coax DIY freak into chemical substance,
chest,CONTAINER,1,"Edit ""Nice art on chest?""",
chewing,AMARETTI,1,Are they a treat I'm chewing?,
chicken,TIMOROUS,1,Cooked our moist chicken,
chicken feed,EARTHWORMS,1,Mother's raw material for chicken feed,
chicory,ENDIVE,1,Chicory is strangely veined,
chief,UTTERMOST,1,Chief met tutors by arrangement,
child allowance,POCKETMONEY,1,Child allowance kept economy active,
childhood abnormality,AUTISM,1,Rumbling tum is a childhood abnormality?,
